"time","circle","event","location","project ID of [circlename] Roles"
10/1/2013,"Alignment","creation in",0,7963718816247
4/14/2014,"Business Intelligence","creation in",7963718816247,11626921109046
3/24/2015,"Business Intelligence","death in",7963718816247,11626921109046
9/17/2018,"Customer Success","creation in",11347525454570,824769296181501
8/4/2016,"Evangelism","creation in",7963718816247,163654573139013
9/2/2015,"Finance","creation in",11555199602299,47872397062455
6/27/2017,"Finance","added to",7963718816247,47872397062455
6/27/2017,"Finance","removed from",11555199602299,47872397062455
7/18/2017,"Finance","removed from",7963718816247,47872397062455
7/18/2017,"Finance","added to",11555199602299,47872397062455
6/5/2018,"Finance","added to",7963718816247,47872397062455
6/5/2018,"Finance","removed from",11555199602299,47872397062455
8/9/2017,"Germany","creation in",7963718816247,404651189519209
3/11/2015,"Go Customer","creation in",7963718816247,29007443412107
1/12/2016,"Go Customer","death in/merged into Organisations",7963718816247,29007443412107
5/22/2014,"Go Sales","creation in",7963718816247,12530878841888
5/29/2014,"Go Sales","death in/merged into Organisations",7963718816247,12530878841888
9/16/2013,"Infrastructure","creation in",7963718816247,7749914219827
7/18/2017,"Infrastructure","removed from",7963718816247,7749914219827
7/18/2017,"Infrastructure","added to",61971534223290,7749914219827
6/28/2018,"Infrastructure","death in/merged into",61971534223290,7749914219827
7/18/2017,"Learning Advice","creation in",11348115733592,388515769387194
6/5/2018,"Learning Advice","added to",7963718816247,388515769387194
6/5/2018,"Learning Advice","removed from",11348115733592,388515769387194
2/4/2020,"Learning Advice","removed from",7963718816247,388515769387194
2/4/2020,"Learning Advice","added to","1160287303922155",388515769387194
1/12/2016,"Marketing","creation in",7963718816247,79667185218012
2/4/2020,"Marketplace (NL/BE/UK/SE/COM)","creation in",7963718816247,"1160287303922155"
4/1/2014,"Marketplace (non-German)","creation in",7963718816247,11348115733592
4/29/2014,"Marketplace (non-German)","added to",7749914219827,11348115733592
4/29/2014,"Marketplace (non-German)","removed from",7963718816247,11348115733592
5/27/2014,"Marketplace (non-German)","removed from",7749914219827,11348115733592
5/27/2014,"Marketplace (non-German)","added to",7963718816247,11348115733592
6/5/2018,"Marketplace (non-German)","death in",7963718816247,11348115733592
1/3/2017,"Marketplace DE","creation in",7963718816247,236886514207498
7/18/2017,"Marketplace DE","removed from",7963718816247,236886514207498
7/18/2017,"Marketplace DE","added to",11348115733592,236886514207498
8/9/2017,"Marketplace DE","removed from",11348115733592,236886514207498
8/9/2017,"Marketplace DE","added to",404651189519209,236886514207498
9/18/2017,"Marketplace DE","death in",404651189519209,236886514207498
2/18/2020,"Non-Catalogue Bookings","creation in","1160287303922155","1162475423722019"
4/20/2020,"Non-Catalogue Bookings","death in","1160287303922155","1162475423722019"
2/15/2018,"Office","creation in",11555199602299,561311958443380
2/22/2018,"Office","death in",11555199602299,561311958443380
4/1/2014,"Organisations","creation in",7963718816247,11347525454570
4/29/2014,"Organisations","added to",7749914219827,11347525454570
4/29/2014,"Organisations","removed from",7963718816247,11347525454570
5/27/2014,"Organisations","removed from",7749914219827,11347525454570
5/27/2014,"Organisations","added to",7963718816247,11347525454570
2/15/2018,"People","creation in",11555199602299,560994092069672
2/22/2018,"People","death in",11555199602299,560994092069672
10/29/2015,"Product","creation in",7963718816247,61971534223290
7/18/2017,"Providers","creation in",11348115733592,389549960603898
7/5/2018,"Providers","added to",7963718816247,389549960603898
7/5/2018,"Providers","removed from",11348115733592,389549960603898
2/4/2020,"Providers","removed from",7963718816247,389549960603898
2/4/2020,"Providers","added to",11348115733592,389549960603898
4/1/2014,"Providers (archived version)","creation in",7963718816247,11350833325340
4/29/2014,"Providers (archived version)","added to",7749914219827,11350833325340
4/29/2014,"Providers (archived version)","removed from",7963718816247,11350833325340
5/27/2014,"Providers (archived version)","removed from",7749914219827,11350833325340
5/27/2014,"Providers (archived version)","added to",7963718816247,11350833325340
1/11/2016,"Providers (archived version)","death in",7963718816247,11350833325340
6/17/2014,"Rainmakers","creation in",7963718816247,13169100426325
1/19/2016,"Rainmakers","death in",7963718816247,13169100426325
9/16/2013,"Sales","creation in",7963718816247,7746376637805
9/1/2014,"Sales","death in",7963718816247,7746376637805
1/21/2020,"Shop Roles","creation in",7963718816247,"1158107169298919"
2/11/2020,"Shop Roles","removed from",7963718816247,"1158107169298919"
2/11/2020,"Shop Roles","added to","1160287303922155","1158107169298919"
6/23/2020,"Shop Roles","removed from","1160287303922155","1158107169298919"
6/23/2020,"Shop Roles","added to","1181577597127617","1158107169298919"
4/10/2014,"Smooth Operations","creation in",7963718816247,11555199602299
7/26/2019,"Springest Academy","creation in",11555199602299,"1133031362168396"
6/23/2020,"Springest Startups","creation in",7963718816247,"1181577597127617"
7/3/2020,"Suite ","creation in","1181577597127617","1183127380297106"
2/6/2020,"User Service Roles","creation in","1160287303922155","1160716728801873"
10/26/2020,"Weiterbildung.de","creation in","1181577597127617","1198923170086967"
